country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Afghanistan,Charcoal - Production,2014,"Metric tons,  thousand",125.905,,charcoal
Angola,Charcoal - Production,2014,"Metric tons,  thousand",1164,,charcoal
Argentina,Charcoal - Production,2014,"Metric tons,  thousand",376,,charcoal
Aruba,Charcoal - Production,2014,"Metric tons,  thousand",0.202,,charcoal
Austria,Charcoal - Production,2014,"Metric tons,  thousand",1,,charcoal
Azerbaijan,Charcoal - Production,2014,"Metric tons,  thousand",6,,charcoal
Bahamas,Charcoal - Production,2014,"Metric tons,  thousand",1.105,,charcoal
Bahrain,Charcoal - Production,2014,"Metric tons,  thousand",1.12,,charcoal
Bangladesh,Charcoal - Production,2014,"Metric tons,  thousand",123,,charcoal
Barbados,Charcoal - Production,2014,"Metric tons,  thousand",0.294,,charcoal
Belarus,Charcoal - Production,2014,"Metric tons,  thousand",3,,charcoal
Belize,Charcoal - Production,2014,"Metric tons,  thousand",0.759,,charcoal
Benin,Charcoal - Production,2014,"Metric tons,  thousand",273,,charcoal
Bhutan,Charcoal - Production,2014,"Metric tons,  thousand",28,,charcoal
Bolivia (Plur. State of),Charcoal - Production,2014,"Metric tons,  thousand",36,,charcoal
Bosnia and Herzegovina,Charcoal - Production,2014,"Metric tons,  thousand",88,,charcoal
Botswana,Charcoal - Production,2014,"Metric tons,  thousand",73.92,,charcoal
Brazil,Charcoal - Production,2014,"Metric tons,  thousand",6507,,charcoal
British Virgin Islands,Charcoal - Production,2014,"Metric tons,  thousand",0.072,,charcoal
Brunei Darussalam,Charcoal - Production,2014,"Metric tons,  thousand",0.31,,charcoal
Bulgaria,Charcoal - Production,2014,"Metric tons,  thousand",6,,charcoal
Burkina Faso,Charcoal - Production,2014,"Metric tons,  thousand",636.798,,charcoal
Burundi,Charcoal - Production,2014,"Metric tons,  thousand",264,,charcoal
Cabo Verde,Charcoal - Production,2014,"Metric tons,  thousand",0.644,,charcoal
Cambodia,Charcoal - Production,2014,"Metric tons,  thousand",895,,charcoal
Cameroon,Charcoal - Production,2014,"Metric tons,  thousand",236,,charcoal
Central African Rep.,Charcoal - Production,2014,"Metric tons,  thousand",206.688,,charcoal
Chad,Charcoal - Production,2014,"Metric tons,  thousand",445.5,,charcoal
Chile,Charcoal - Production,2014,"Metric tons,  thousand",72,,charcoal
